name,taxa,scientificname,genus,family,taxonomic_level
Protium unifoliolatum,plants,Protium unifoliolatum,Protium,Burseraceae,species
Commelinaceae,plants,,,Commelinaceae,family
Adenocalymma molle,plants,Adenocalymma molle,Adenocalymma,Bignoniaceae,species
Trattinnickia burserifolia,plants,Trattinnickia burserifolia,Trattinnickia,Burseraceae,species
Ouratea polyantha,plants,Ouratea polyantha,Ouratea,Ochnaceae,species
Paullinia,plants,,Paullinia,Sapindaceae,genus
Bignoniaceae,plants,,,Bignoniaceae,family
Diploon cuspidatum,plants,Diploon cuspidatum,Diploon,Sapotaceae,species
Discophora,plants,,Discophora,Stemonuraceae,genus
Aristida,plants,,Aristida,Poaceae,genus
Philodendron pulchrum,plants,Philodendron pulchrum,Philodendron,Araceae,species
Colobodontium,plants,,Colobodontium,Sematophyllaceae,genus
Diospyros,plants,,Diospyros,Ebenaceae,genus
Salpichlaena volubilis,plants,Salpichlaena volubilis,Salpichlaena,Blechnaceae,species
Inga flagelliformis,plants,Inga flagelliformis,Inga,Fabaceae,species
Chomelia,plants,,Chomelia,Rubiaceae,genus
Dimorphandra macrostachya,plants,Dimorphandra macrostachya,Dimorphandra,Fabaceae,species
Aniba guianensis,plants,Aniba guianensis,Aniba,Lauraceae,species
Miconia nervosa,plants,Miconia nervosa,Miconia,Melastomataceae,species
Myrcia minutiflora,plants,Myrcia minutiflora,Myrcia,Myrtaceae,species
Odontadenia puncticulosa,plants,Odontadenia puncticulosa,Odontadenia,Apocynaceae,species
Epidendrum longicolle,plants,Epidendrum longicolle,Epidendrum,Orchidaceae,species
Abuta obovata,plants,Abuta obovata,Abuta,Menispermaceae,species
Maxillaria pendens,plants,Maxillaria pendens,Maxillaria,Orchidaceae,species
Martinella,plants,,Martinella,Bignoniaceae,genus
Rauvolfia,plants,,Rauvolfia,Apocynaceae,genus
Palicourea polycephala,plants,Palicourea polycephala,Palicourea,Rubiaceae,species
Allantoma lineata,plants,Allantoma lineata,Allantoma,Lecythidaceae,species
Clavija lancifolia,plants,Clavija lancifolia,Clavija,Primulaceae,species
Jacaranda glabra,plants,Jacaranda glabra,Jacaranda,Bignoniaceae,species
Pouteria bilocularis,plants,Pouteria bilocularis,Pouteria,Sapotaceae,species
Bazzania hookeri,plants,Bazzania hookeri,Bazzania,Lepidoziaceae,species
Muntingia,plants,,Muntingia,Muntingiaceae,genus
Hirtella bullata,plants,Hirtella bullata,Hirtella,Chrysobalanaceae,species
Abuta,plants,,Abuta,Menispermaceae,genus
Cryptarrhena guatemalensis,plants,Cryptarrhena guatemalensis,Cryptarrhena,Orchidaceae,species
Senegalia,plants,,Senegalia,Fabaceae,genus
Philonotion spruceanum,plants,Philonotion spruceanum,Philonotion,Araceae,species
Bactris,plants,,Bactris,Arecaceae,genus
Simira,plants,,Simira,Rubiaceae,genus
Pleonotoma,plants,,Pleonotoma,Bignoniaceae,genus
Octoblepharum pulvinatum,plants,Octoblepharum pulvinatum,Octoblepharum,Octoblepharaceae,species
